"M","sensQVOA","specQVOA","sensUDSA","specUDSA","n","Tau","u","q","constant_Tau","sim_id","Lambda","conv","msg","Lambda_naive","conv_naive","msg_naive","assay_resampled"
12,0.8,0.9,0.8,0.9,12,1,1,1,1,1,0.891908220798707,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",2.47414077371162,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,2,1.2633644599898,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",2.68970928929449,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,3,0.732546017881735,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",3.75687933025069,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,4,1.79816925498286,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",3.00502647352977,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,5,0.987875655458869,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",3.65327304798259,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,6,0.594756045150069,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",3.18374464252584,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,7,0.885111965970692,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",2.56118048971347,NA,NA,TRUE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,8,1.73313964177318,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",2.75690265958932,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,9,1.28549265229857,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",2.27553308073663,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,10,1.58869228820401,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",2.58657267121406,NA,NA,FALSE
12,0.8,0.9,0.8,0.9,12,1,1,1,1,11,1.34802729562889,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",2.82747155197013,NA,NA,FALSE
